Year;LOCATION;VARIABLE;UNIT_MULT;FREQ;OBS_VALUE;TIME_FORMAT;UNIT_MEASURE
2000;New Zealand;Maternal mortality ratio (MMR) (upper bound);Units;Annual;10.5;Annual;number of maternal deaths per 100,000 live births
2004;New Zealand;Maternal mortality ratio (MMR) (upper bound);Units;Annual;12.7;Annual;number of maternal deaths per 100,000 live births
2007;New Zealand;Maternal mortality ratio (MMR) (upper bound);Units;Annual;13.1;Annual;number of maternal deaths per 100,000 live births
2008;New Zealand;Maternal mortality ratio (MMR) (upper bound);Units;Annual;12.5;Annual;number of maternal deaths per 100,000 live births
2010;New Zealand;Maternal mortality ratio (MMR) (upper bound);Units;Annual;11.5;Annual;number of maternal deaths per 100,000 live births
1998;Poland;Maternal mortality ratio (MMR) (upper bound);Units;Annual;25.7;Annual;number of maternal deaths per 100,000 live births
2009;Poland;Maternal mortality ratio (MMR) (upper bound);Units;Annual;13.5;Annual;number of maternal deaths per 100,000 live births
2011;Poland;Maternal mortality ratio (MMR) (upper bound);Units;Annual;13.0;Annual;number of maternal deaths per 100,000 live births
1992;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;442.0;Annual;Number
1997;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;430.0;Annual;Number
2001;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;417.0;Annual;Number
2003;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;422.0;Annual;Number
2004;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;416.0;Annual;Number
2005;Papua New Guinea;Number of maternal deaths (lower bound);Units;Annual;423.0;Annual;Number
1993;Afghanistan;Number of maternal deaths (lower bound);Units;Annual;8241.0;Annual;Number
1997;Afghanistan;Number of maternal deaths (lower bound);Units;Annual;11129.0;Annual;Number
2011;Afghanistan;Number of maternal deaths (lower bound);Units;Annual;9651.0;Annual;Number
1994;New Zealand;Maternal mortality ratio (MMR);Units;Annual;9.9;Annual;number of maternal deaths per 100,000 live births
1996;New Zealand;Maternal mortality ratio (MMR);Units;Annual;8.0;Annual;number of maternal deaths per 100,000 live births
2000;New Zealand;Maternal mortality ratio (MMR);Units;Annual;8.7;Annual;number of maternal deaths per 100,000 live births
2008;New Zealand;Maternal mortality ratio (MMR);Units;Annual;10.1;Annual;number of maternal deaths per 100,000 live births
2001;Viet Nam;Maternal mortality ratio (MMR);Units;Annual;86.2;Annual;number of maternal deaths per 100,000 live births
2006;Viet Nam;Maternal mortality ratio (MMR);Units;Annual;67.9;Annual;number of maternal deaths per 100,000 live births
2007;Viet Nam;Maternal mortality ratio (MMR);Units;Annual;65.2;Annual;number of maternal deaths per 100,000 live births
2008;Viet Nam;Maternal mortality ratio (MMR);Units;Annual;62.5;Annual;number of maternal deaths per 100,000 live births
1995;Cuba;Maternal mortality ratio (MMR);Units;Annual;54.3;Annual;number of maternal deaths per 100,000 live births
2002;Cuba;Maternal mortality ratio (MMR);Units;Annual;58.4;Annual;number of maternal deaths per 100,000 live births
2006;Cuba;Maternal mortality ratio (MMR);Units;Annual;53.2;Annual;number of maternal deaths per 100,000 live births
1990;Slovenia;Number of maternal deaths (upper bound);Units;Annual;4.0;Annual;Number
1994;Slovenia;Number of maternal deaths (upper bound);Units;Annual;4.0;Annual;Number
2008;Slovenia;Number of maternal deaths (upper bound);Units;Annual;2.0;Annual;Number
1998;Uzbekistan;Number of maternal deaths (lower bound);Units;Annual;197.0;Annual;Number
2001;Uzbekistan;Number of maternal deaths (lower bound);Units;Annual;237.0;Annual;Number
2006;Uzbekistan;Number of maternal deaths (lower bound);Units;Annual;218.0;Annual;Number
1999;Zimbabwe;Maternal mortality ratio (MMR) (lower bound);Units;Annual;1111.8;Annual;number of maternal deaths per 100,000 live births
1992;Angola;Maternal mortality ratio (MMR);Units;Annual;549.1;Annual;number of maternal deaths per 100,000 live births
2007;Angola;Maternal mortality ratio (MMR);Units;Annual;435.9;Annual;number of maternal deaths per 100,000 live births
1990;Nepal;Number of maternal deaths (lower bound);Units;Annual;2696.0;Annual;Number
2001;Nepal;Number of maternal deaths (lower bound);Units;Annual;2684.0;Annual;Number
2005;Nepal;Number of maternal deaths (lower bound);Units;Annual;2258.0;Annual;Number
2011;Nepal;Number of maternal deaths (lower bound);Units;Annual;1721.0;Annual;Number
2002;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1284.0;Annual;number of maternal deaths per 100,000 live births
2006;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1154.8;Annual;number of maternal deaths per 100,000 live births
2007;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1107.9;Annual;number of maternal deaths per 100,000 live births
1992;Somalia;Number of maternal deaths;Units;Annual;1425.0;Annual;Number
2003;Somalia;Number of maternal deaths;Units;Annual;1845.0;Annual;Number
2005;Somalia;Number of maternal deaths;Units;Annual;1894.0;Annual;Number
2010;Somalia;Number of maternal deaths;Units;Annual;1973.0;Annual;Number
1999;Malta;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2005;Malta;Number of maternal deaths (lower bound);Units;Annual;0.0;Annual;Number
2011;Malta;Number of maternal deaths (lower bound);Units;Annual;0.0;Annual;Number
1992;Panama;Number of maternal deaths (lower bound);Units;Annual;30.0;Annual;Number
1993;Guatemala;Number of maternal deaths;Units;Annual;662.0;Annual;Number
1996;Guatemala;Number of maternal deaths;Units;Annual;480.0;Annual;Number
1994;Senegal;Maternal mortality ratio (MMR);Units;Annual;547.4;Annual;number of maternal deaths per 100,000 live births
2007;Senegal;Maternal mortality ratio (MMR);Units;Annual;395.0;Annual;number of maternal deaths per 100,000 live births
2004;Saint Lucia;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2007;Saint Lucia;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2008;Saint Lucia;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2009;Iceland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;1.3;Annual;number of maternal deaths per 100,000 live births
1998;India;Number of maternal deaths (lower bound);Units;Annual;97929.0;Annual;Number
2001;India;Number of maternal deaths (lower bound);Units;Annual;78887.0;Annual;Number
2009;India;Number of maternal deaths (lower bound);Units;Annual;45243.0;Annual;Number
2011;India;Number of maternal deaths (lower bound);Units;Annual;38624.0;Annual;Number
2003;Qatar;Maternal mortality ratio (MMR);Units;Annual;30.0;Annual;number of maternal deaths per 100,000 live births
1992;Dominican Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;76.7;Annual;number of maternal deaths per 100,000 live births
1996;Dominican Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;70.2;Annual;number of maternal deaths per 100,000 live births
2007;Dominican Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;57.3;Annual;number of maternal deaths per 100,000 live births
2010;Dominican Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;51.1;Annual;number of maternal deaths per 100,000 live births
2011;Dominican Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;47.7;Annual;number of maternal deaths per 100,000 live births
1993;Marshall Islands;Number of maternal deaths (upper bound);Units;Annual;3.0;Annual;Number
1997;Marshall Islands;Number of maternal deaths (upper bound);Units;Annual;3.0;Annual;Number
1997;Uruguay;Maternal mortality ratio (MMR) (lower bound);Units;Annual;31.9;Annual;number of maternal deaths per 100,000 live births
2005;Uruguay;Maternal mortality ratio (MMR) (lower bound);Units;Annual;25.9;Annual;number of maternal deaths per 100,000 live births
2009;Uruguay;Maternal mortality ratio (MMR) (lower bound);Units;Annual;23.2;Annual;number of maternal deaths per 100,000 live births
1998;Macedonia, the Former Yugoslav Republic of;Number of maternal deaths;Units;Annual;5.0;Annual;Number
2002;Macedonia, the Former Yugoslav Republic of;Number of maternal deaths;Units;Annual;4.0;Annual;Number
2007;Denmark;Maternal mortality ratio (MMR) (lower bound);Units;Annual;4.5;Annual;number of maternal deaths per 100,000 live births
1990;United Arab Emirates;Number of maternal deaths (lower bound);Units;Annual;11.0;Annual;Number
2000;United Arab Emirates;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
2009;United Arab Emirates;Number of maternal deaths (lower bound);Units;Annual;9.0;Annual;Number
1994;South Africa;Maternal mortality ratio (MMR) (upper bound);Units;Annual;93.4;Annual;number of maternal deaths per 100,000 live births
2010;South Africa;Maternal mortality ratio (MMR) (upper bound);Units;Annual;134.1;Annual;number of maternal deaths per 100,000 live births
1991;Comoros;Maternal mortality ratio (MMR) (upper bound);Units;Annual;521.6;Annual;number of maternal deaths per 100,000 live births
1992;Comoros;Maternal mortality ratio (MMR) (upper bound);Units;Annual;507.8;Annual;number of maternal deaths per 100,000 live births
1996;Comoros;Maternal mortality ratio (MMR) (upper bound);Units;Annual;466.3;Annual;number of maternal deaths per 100,000 live births
1999;Comoros;Maternal mortality ratio (MMR) (upper bound);Units;Annual;443.4;Annual;number of maternal deaths per 100,000 live births
2001;Comoros;Maternal mortality ratio (MMR) (upper bound);Units;Annual;430.3;Annual;number of maternal deaths per 100,000 live births
1992;Central African Republic;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1975.9;Annual;number of maternal deaths per 100,000 live births
1995;Central African Republic;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1897.1;Annual;number of maternal deaths per 100,000 live births
2000;Central African Republic;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1570.1;Annual;number of maternal deaths per 100,000 live births
2007;Central African Republic;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1075.6;Annual;number of maternal deaths per 100,000 live births
2005;United Arab Emirates;Number of maternal deaths (upper bound);Units;Annual;16.0;Annual;Number
2008;United Arab Emirates;Number of maternal deaths (upper bound);Units;Annual;19.0;Annual;Number
1990;Peru;Number of maternal deaths (lower bound);Units;Annual;1041.0;Annual;Number
1995;Peru;Number of maternal deaths (lower bound);Units;Annual;986.0;Annual;Number
1997;Peru;Number of maternal deaths (lower bound);Units;Annual;873.0;Annual;Number
2003;Peru;Number of maternal deaths (lower bound);Units;Annual;454.0;Annual;Number
1991;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;6.8;Annual;number of maternal deaths per 100,000 live births
1993;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;6.5;Annual;number of maternal deaths per 100,000 live births
1999;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.1;Annual;number of maternal deaths per 100,000 live births
2001;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.7;Annual;number of maternal deaths per 100,000 live births
2003;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.0;Annual;number of maternal deaths per 100,000 live births
2004;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;7.3;Annual;number of maternal deaths per 100,000 live births
2005;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;6.7;Annual;number of maternal deaths per 100,000 live births
2010;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;5.6;Annual;number of maternal deaths per 100,000 live births
2011;Singapore;Maternal mortality ratio (MMR) (lower bound);Units;Annual;5.3;Annual;number of maternal deaths per 100,000 live births
1992;Kuwait;Number of maternal deaths (lower bound);Units;Annual;8.0;Annual;Number
1995;Kuwait;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
2001;Kuwait;Number of maternal deaths (lower bound);Units;Annual;6.0;Annual;Number
2004;Kuwait;Number of maternal deaths (lower bound);Units;Annual;6.0;Annual;Number
2011;Kuwait;Number of maternal deaths (lower bound);Units;Annual;8.0;Annual;Number
1990;Moldova;Maternal mortality ratio (MMR);Units;Annual;44.3;Annual;number of maternal deaths per 100,000 live births
2001;Moldova;Maternal mortality ratio (MMR);Units;Annual;27.6;Annual;number of maternal deaths per 100,000 live births
1994;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;34.4;Annual;number of maternal deaths per 100,000 live births
1996;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;33.0;Annual;number of maternal deaths per 100,000 live births
1997;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;32.4;Annual;number of maternal deaths per 100,000 live births
1998;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;32.1;Annual;number of maternal deaths per 100,000 live births
2001;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;27.7;Annual;number of maternal deaths per 100,000 live births
2006;Bosnia and Herzegovina;Maternal mortality ratio (MMR) (upper bound);Units;Annual;24.6;Annual;number of maternal deaths per 100,000 live births
1990;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;135.0;Annual;Number
1993;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;153.0;Annual;Number
1996;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;165.0;Annual;Number
1999;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;139.0;Annual;Number
2000;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;137.0;Annual;Number
2004;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;158.0;Annual;Number
2007;Timor-Leste;Number of maternal deaths (lower bound);Units;Annual;156.0;Annual;Number
2004;Djibouti;Maternal mortality ratio (MMR) (lower bound);Units;Annual;360.2;Annual;number of maternal deaths per 100,000 live births
1994;Mali;Maternal mortality ratio (MMR);Units;Annual;664.2;Annual;number of maternal deaths per 100,000 live births
1997;Mali;Maternal mortality ratio (MMR);Units;Annual;710.7;Annual;number of maternal deaths per 100,000 live births
2003;Mali;Maternal mortality ratio (MMR);Units;Annual;584.9;Annual;number of maternal deaths per 100,000 live births
2005;Mali;Maternal mortality ratio (MMR);Units;Annual;529.7;Annual;number of maternal deaths per 100,000 live births
2008;Mali;Maternal mortality ratio (MMR);Units;Annual;470.2;Annual;number of maternal deaths per 100,000 live births
2009;Mali;Maternal mortality ratio (MMR);Units;Annual;451.9;Annual;number of maternal deaths per 100,000 live births
2010;Mali;Maternal mortality ratio (MMR);Units;Annual;434.7;Annual;number of maternal deaths per 100,000 live births
1991;Madagascar;Number of maternal deaths;Units;Annual;2345.0;Annual;Number
1999;Madagascar;Number of maternal deaths;Units;Annual;2920.0;Annual;Number
2005;Madagascar;Number of maternal deaths;Units;Annual;3096.0;Annual;Number
2008;Madagascar;Number of maternal deaths;Units;Annual;3143.0;Annual;Number
1994;Nigeria;Number of maternal deaths;Units;Annual;20974.0;Annual;Number
1997;Nigeria;Number of maternal deaths;Units;Annual;28041.0;Annual;Number
2000;Nigeria;Number of maternal deaths;Units;Annual;34968.0;Annual;Number
2009;Nigeria;Number of maternal deaths;Units;Annual;33614.0;Annual;Number
1991;Canada;Number of maternal deaths;Units;Annual;29.0;Annual;Number
1996;Canada;Number of maternal deaths;Units;Annual;32.0;Annual;Number
1997;Canada;Number of maternal deaths;Units;Annual;33.0;Annual;Number
2000;Canada;Number of maternal deaths;Units;Annual;32.0;Annual;Number
2007;Canada;Number of maternal deaths;Units;Annual;34.0;Annual;Number
2010;Canada;Number of maternal deaths;Units;Annual;32.0;Annual;Number
1996;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;57.1;Annual;number of maternal deaths per 100,000 live births
1998;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;57.4;Annual;number of maternal deaths per 100,000 live births
2004;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;49.0;Annual;number of maternal deaths per 100,000 live births
2005;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;48.0;Annual;number of maternal deaths per 100,000 live births
2008;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;43.2;Annual;number of maternal deaths per 100,000 live births
2009;Saint Lucia;Maternal mortality ratio (MMR);Units;Annual;41.6;Annual;number of maternal deaths per 100,000 live births
1999;Tunisia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;67.7;Annual;number of maternal deaths per 100,000 live births
2001;Tunisia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;61.7;Annual;number of maternal deaths per 100,000 live births
2004;Tunisia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;52.0;Annual;number of maternal deaths per 100,000 live births
2007;Tunisia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;47.0;Annual;number of maternal deaths per 100,000 live births
1994;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;169.0;Annual;Number
1996;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;165.0;Annual;Number
1999;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;154.0;Annual;Number
2003;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;127.0;Annual;Number
2004;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;122.0;Annual;Number
2006;Sri Lanka;Number of maternal deaths (lower bound);Units;Annual;124.0;Annual;Number
1993;Timor-Leste;Number of maternal deaths (upper bound);Units;Annual;221.0;Annual;Number
1995;Timor-Leste;Number of maternal deaths (upper bound);Units;Annual;224.0;Annual;Number
2003;Timor-Leste;Number of maternal deaths (upper bound);Units;Annual;186.0;Annual;Number
2009;Burkina Faso;Maternal mortality ratio (MMR) (lower bound);Units;Annual;339.9;Annual;number of maternal deaths per 100,000 live births
1994;Qatar;Number of maternal deaths;Units;Annual;5.0;Annual;Number
1999;Qatar;Number of maternal deaths;Units;Annual;5.0;Annual;Number
2000;Qatar;Number of maternal deaths;Units;Annual;4.0;Annual;Number
2007;Qatar;Number of maternal deaths;Units;Annual;5.0;Annual;Number
2011;Qatar;Number of maternal deaths;Units;Annual;6.0;Annual;Number
1990;Bahrain;Maternal mortality ratio (MMR);Units;Annual;41.3;Annual;number of maternal deaths per 100,000 live births
2008;Bahrain;Maternal mortality ratio (MMR);Units;Annual;19.1;Annual;number of maternal deaths per 100,000 live births
2011;Bahrain;Maternal mortality ratio (MMR);Units;Annual;16.3;Annual;number of maternal deaths per 100,000 live births
1990;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;108.6;Annual;number of maternal deaths per 100,000 live births
1992;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;108.4;Annual;number of maternal deaths per 100,000 live births
1997;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;90.8;Annual;number of maternal deaths per 100,000 live births
1998;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;85.1;Annual;number of maternal deaths per 100,000 live births
2007;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;54.1;Annual;number of maternal deaths per 100,000 live births
2009;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;54.7;Annual;number of maternal deaths per 100,000 live births
2011;Tonga;Maternal mortality ratio (MMR) (lower bound);Units;Annual;55.3;Annual;number of maternal deaths per 100,000 live births
2001;Paraguay;Number of maternal deaths;Units;Annual;181.0;Annual;Number
2005;Paraguay;Number of maternal deaths;Units;Annual;183.0;Annual;Number
1990;Pakistan;Number of maternal deaths (lower bound);Units;Annual;19928.0;Annual;Number
1994;Pakistan;Number of maternal deaths (lower bound);Units;Annual;18955.0;Annual;Number
2002;Pakistan;Number of maternal deaths (lower bound);Units;Annual;16721.0;Annual;Number
1992;Iceland;Number of maternal deaths (upper bound);Units;Annual;0.0;Annual;Number
2002;Iceland;Number of maternal deaths (upper bound);Units;Annual;0.0;Annual;Number
2008;Iceland;Number of maternal deaths (upper bound);Units;Annual;0.0;Annual;Number
1997;Kiribati;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
1999;Kiribati;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
2002;Kiribati;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2004;Kiribati;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2008;Kiribati;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2009;Kiribati;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
1999;El Salvador;Maternal mortality ratio (MMR) (lower bound);Units;Annual;61.8;Annual;number of maternal deaths per 100,000 live births
2007;El Salvador;Maternal mortality ratio (MMR) (lower bound);Units;Annual;41.6;Annual;number of maternal deaths per 100,000 live births
2010;El Salvador;Maternal mortality ratio (MMR) (lower bound);Units;Annual;42.0;Annual;number of maternal deaths per 100,000 live births
2011;El Salvador;Maternal mortality ratio (MMR) (lower bound);Units;Annual;39.6;Annual;number of maternal deaths per 100,000 live births
1991;Syrian Arab Republic;Number of maternal deaths;Units;Annual;529.0;Annual;Number
1994;Syrian Arab Republic;Number of maternal deaths;Units;Annual;463.0;Annual;Number
1995;Syrian Arab Republic;Number of maternal deaths;Units;Annual;416.0;Annual;Number
1996;Syrian Arab Republic;Number of maternal deaths;Units;Annual;367.0;Annual;Number
2003;Syrian Arab Republic;Number of maternal deaths;Units;Annual;125.0;Annual;Number
2009;Syrian Arab Republic;Number of maternal deaths;Units;Annual;100.0;Annual;Number
1994;Taiwan;Maternal mortality ratio (MMR) (lower bound);Units;Annual;11.2;Annual;number of maternal deaths per 100,000 live births
2002;Taiwan;Maternal mortality ratio (MMR) (lower bound);Units;Annual;9.0;Annual;number of maternal deaths per 100,000 live births
2002;Lebanon;Number of maternal deaths (lower bound);Units;Annual;15.0;Annual;Number
1997;Ecuador;Maternal mortality ratio (MMR) (upper bound);Units;Annual;103.5;Annual;number of maternal deaths per 100,000 live births
1991;Montenegro;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
1993;Montenegro;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
2000;Norway;Maternal mortality ratio (MMR) (lower bound);Units;Annual;5.4;Annual;number of maternal deaths per 100,000 live births
2002;Norway;Maternal mortality ratio (MMR) (lower bound);Units;Annual;5.4;Annual;number of maternal deaths per 100,000 live births
2004;Norway;Maternal mortality ratio (MMR) (lower bound);Units;Annual;5.4;Annual;number of maternal deaths per 100,000 live births
2001;Greece;Maternal mortality ratio (MMR);Units;Annual;7.9;Annual;number of maternal deaths per 100,000 live births
1994;Djibouti;Number of maternal deaths (lower bound);Units;Annual;68.0;Annual;Number
2001;Djibouti;Number of maternal deaths (lower bound);Units;Annual;90.0;Annual;Number
2003;Djibouti;Number of maternal deaths (lower bound);Units;Annual;88.0;Annual;Number
2006;Djibouti;Number of maternal deaths (lower bound);Units;Annual;83.0;Annual;Number
2011;Djibouti;Number of maternal deaths (lower bound);Units;Annual;68.0;Annual;Number
1990;Germany;Number of maternal deaths;Units;Annual;112.0;Annual;Number
1996;Germany;Number of maternal deaths;Units;Annual;93.0;Annual;Number
1998;Germany;Number of maternal deaths;Units;Annual;95.0;Annual;Number
2009;Germany;Number of maternal deaths;Units;Annual;78.0;Annual;Number
2011;Germany;Number of maternal deaths;Units;Annual;75.0;Annual;Number
1991;United Kingdom;Number of maternal deaths (upper bound);Units;Annual;88.0;Annual;Number
1992;United Kingdom;Number of maternal deaths (upper bound);Units;Annual;89.0;Annual;Number
1995;Suriname;Number of maternal deaths (lower bound);Units;Annual;6.0;Annual;Number
2000;Suriname;Number of maternal deaths (lower bound);Units;Annual;8.0;Annual;Number
1990;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;7.0;Annual;number of maternal deaths per 100,000 live births
1993;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;6.6;Annual;number of maternal deaths per 100,000 live births
1997;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;6.6;Annual;number of maternal deaths per 100,000 live births
1999;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;7.6;Annual;number of maternal deaths per 100,000 live births
2005;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;8.0;Annual;number of maternal deaths per 100,000 live births
2010;Norway;Maternal mortality ratio (MMR) (upper bound);Units;Annual;7.1;Annual;number of maternal deaths per 100,000 live births
1990;Iraq;Maternal mortality ratio (MMR) (lower bound);Units;Annual;180.1;Annual;number of maternal deaths per 100,000 live births
1993;Iraq;Maternal mortality ratio (MMR) (lower bound);Units;Annual;183.1;Annual;number of maternal deaths per 100,000 live births
2001;Iraq;Maternal mortality ratio (MMR) (lower bound);Units;Annual;123.7;Annual;number of maternal deaths per 100,000 live births
1993;Algeria;Maternal mortality ratio (MMR) (upper bound);Units;Annual;184.3;Annual;number of maternal deaths per 100,000 live births
1994;Algeria;Maternal mortality ratio (MMR) (upper bound);Units;Annual;172.2;Annual;number of maternal deaths per 100,000 live births
1996;Algeria;Maternal mortality ratio (MMR) (upper bound);Units;Annual;147.1;Annual;number of maternal deaths per 100,000 live births
2009;Algeria;Maternal mortality ratio (MMR) (upper bound);Units;Annual;110.8;Annual;number of maternal deaths per 100,000 live births
1990;Djibouti;Number of maternal deaths (upper bound);Units;Annual;110.0;Annual;Number
1994;Djibouti;Number of maternal deaths (upper bound);Units;Annual;122.0;Annual;Number
1996;Djibouti;Number of maternal deaths (upper bound);Units;Annual;130.0;Annual;Number
1997;Djibouti;Number of maternal deaths (upper bound);Units;Annual;134.0;Annual;Number
2003;Djibouti;Number of maternal deaths (upper bound);Units;Annual;154.0;Annual;Number
2006;Djibouti;Number of maternal deaths (upper bound);Units;Annual;148.0;Annual;Number
2011;Djibouti;Number of maternal deaths (upper bound);Units;Annual;129.0;Annual;Number
1991;Equatorial Guinea;Maternal mortality ratio (MMR) (lower bound);Units;Annual;482.7;Annual;number of maternal deaths per 100,000 live births
1992;Equatorial Guinea;Maternal mortality ratio (MMR) (lower bound);Units;Annual;495.3;Annual;number of maternal deaths per 100,000 live births
1997;Equatorial Guinea;Maternal mortality ratio (MMR) (lower bound);Units;Annual;452.8;Annual;number of maternal deaths per 100,000 live births
2006;Equatorial Guinea;Maternal mortality ratio (MMR) (lower bound);Units;Annual;167.8;Annual;number of maternal deaths per 100,000 live births
1993;Argentina;Number of maternal deaths (lower bound);Units;Annual;375.0;Annual;Number
1998;Argentina;Number of maternal deaths (lower bound);Units;Annual;393.0;Annual;Number
2001;Argentina;Number of maternal deaths (lower bound);Units;Annual;399.0;Annual;Number
1993;Morocco;Number of maternal deaths (upper bound);Units;Annual;2998.0;Annual;Number
1997;Morocco;Number of maternal deaths (upper bound);Units;Annual;1961.0;Annual;Number
1998;Morocco;Number of maternal deaths (upper bound);Units;Annual;1800.0;Annual;Number
2002;Morocco;Number of maternal deaths (upper bound);Units;Annual;1070.0;Annual;Number
2003;Morocco;Number of maternal deaths (upper bound);Units;Annual;924.0;Annual;Number
2006;Morocco;Number of maternal deaths (upper bound);Units;Annual;692.0;Annual;Number
2010;Morocco;Number of maternal deaths (upper bound);Units;Annual;604.0;Annual;Number
1994;Cuba;Number of maternal deaths;Units;Annual;89.0;Annual;Number
1995;Cuba;Number of maternal deaths;Units;Annual;86.0;Annual;Number
1997;Cuba;Number of maternal deaths;Units;Annual;82.0;Annual;Number
1998;Cuba;Number of maternal deaths;Units;Annual;82.0;Annual;Number
2001;Cuba;Number of maternal deaths;Units;Annual;84.0;Annual;Number
2003;Cuba;Number of maternal deaths;Units;Annual;78.0;Annual;Number
2010;Cuba;Number of maternal deaths;Units;Annual;47.0;Annual;Number
2011;Cuba;Number of maternal deaths;Units;Annual;44.0;Annual;Number
1992;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;141.8;Annual;number of maternal deaths per 100,000 live births
1993;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;151.0;Annual;number of maternal deaths per 100,000 live births
1995;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;171.4;Annual;number of maternal deaths per 100,000 live births
2004;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;137.6;Annual;number of maternal deaths per 100,000 live births
2006;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;134.9;Annual;number of maternal deaths per 100,000 live births
